time,x,y
1.82,2.97773,1.23629
1.84,3.00847,1.22234
1.86,3.03276,1.18789
1.88,3.06672,1.15544
1.90,3.10292,1.12073
1.92,3.13374,1.08195
1.94,3.16451,1.04589
1.96,3.19477,0.99206
1.98,3.22589,0.93758
2.00,3.25879,0.87651
2.02,3.28950,0.82026
2.04,3.32716,0.74797
2.06,3.35351,0.69306
2.08,3.38667,0.62414
2.10,3.42427,0.54825
2.12,3.45212,0.46194
2.14,3.48789,0.38297
2.16,3.51052,0.30012
2.18,3.54817,0.22006
2.20,3.57843,0.11679
2.22,3.61060,0.01818
2.24,3.64086,0.05797
2.26,3.67294,0.11838
2.28,3.70553,0.19751
2.30,3.74029,0.24237
2.32,3.76702,0.30003
2.34,3.79712,0.36100
2.36,3.82977,0.39479
2.38,3.86262,0.43551
2.40,3.89047,0.47466
2.42,3.92246,0.52240
2.44,3.95856,0.54262
2.46,3.98369,0.56141
2.48,4.02002,0.59549
2.50,4.04703,0.61583
2.52,4.08147,0.63298
2.54,4.10927,0.64272
2.56,4.13700,0.65333
2.58,4.16806,0.65551
2.60,4.20198,0.65206
2.62,4.23364,0.64787
2.64,4.26819,0.63703
2.66,4.29432,0.64354
2.68,4.32531,0.61959
2.70,4.35988,0.59484
2.72,4.39245,0.56839
2.74,4.41969,0.53940
2.76,4.44728,0.50519
2.78,4.48004,0.47045
2.80,4.51098,0.43252
2.82,4.54547,0.39338
2.84,4.56953,0.34592
2.86,4.60322,0.29568
2.88,4.64260,0.24647
2.90,4.67174,0.17690
2.92,4.69888,0.11716
2.94,4.73277,0.05288
2.96,4.76257,0.01596
2.98,4.79342,0.05503
3.00,4.82097,0.10365
3.02,4.85774,0.15063
3.04,4.88005,0.18896
3.06,4.91487,0.21148
3.08,4.93854,0.24535
3.10,4.96940,0.26335
3.12,5.00269,0.28145
3.14,5.03140,0.30519
3.16,5.06348,0.30658
3.18,5.09163,0.33338
3.20,5.11444,0.34043
3.22,5.15078,0.33396
3.24,5.18515,0.32351
3.26,5.21397,0.32555
3.28,5.23845,0.30972
3.30,5.27600,0.29877
3.32,5.30200,0.27787
3.34,5.33222,0.26068
3.36,5.36107,0.22649
3.38,5.38990,0.20050
3.40,5.41943,0.16458
3.42,5.45428,0.12356
3.44,5.48144,0.08622
3.46,5.51992,0.03732
3.48,5.54147,0.01628
3.50,5.57045,0.04347
3.52,5.60332,0.07711
3.54,5.62336,0.09575
3.56,5.65888,0.12023
3.58,5.69028,0.13868
3.60,5.71642,0.16220
3.62,5.74983,0.15349
3.64,5.77583,0.16713
3.66,5.80798,0.17025
3.68,5.84111,0.16327
3.70,5.86995,0.16391
3.72,5.89836,0.15533
3.74,5.92387,0.13265
3.76,5.95566,0.11609
3.78,5.98310,0.09053
3.80,6.01270,0.07040
3.82,6.03557,0.04257
3.84,6.07609,0.00536
3.86,6.09857,0.01494
3.88,6.12790,0.03905
3.90,6.15210,0.04820
3.92,6.18372,0.07597
3.94,6.21449,0.08464
3.96,6.23836,0.08512
3.98,6.27287,0.09300
4.00,6.29893,0.07792
4.02,6.32343,0.07714
4.04,6.35137,0.06730
4.06,6.38270,0.04317
4.08,6.41123,0.03871
4.10,6.43567,0.01291
4.12,6.46280,0.01564
4.14,6.48602,0.02463
4.16,6.52472,0.02699
4.18,6.55011,0.04526
4.20,6.57538,0.04990
4.22,6.59741,0.04302
4.24,6.63149,0.03948
4.26,6.65621,0.03218
4.28,6.68508,0.00374
4.30,6.70638,0.00183
4.32,6.74228,0.01523
4.34,6.76888,0.01746
4.36,6.79834,0.02439
4.38,6.82304,0.02315
4.40,6.84664,0.01066
4.42,6.87097,0.00171
4.44,6.89671,0.00998
4.46,6.92129,0.01798
4.48,6.95036,0.01978
4.50,6.97228,0.00692
4.52,7.00168,-0.01062
4.54,7.03078,-0.00171
4.56,7.05741,0.00233
4.58,7.07881,-0.00126
4.60,7.10193,-0.00021
4.62,7.12798,0.00167
4.64,7.14860,0.00225
4.66,7.17200,-0.00639
4.68,7.19587,0.00033
4.70,7.22513,-0.00467
4.72,7.24649,0.00039
4.74,7.27191,-0.00602
4.76,7.29340,-0.00788
4.78,7.31932,-0.00035
4.80,7.34145,-0.00563
4.82,7.36286,0.00252
4.84,7.39597,0.00797
4.86,7.41211,0.00892
4.88,7.44155,-0.00835
4.90,7.45463,-0.00729
4.92,7.47769,0.00111
4.94,7.50665,0.00274
4.96,7.53109,0.00148
4.98,7.54596,-0.00409
5.00,7.57881,0.00332
5.02,7.59597,-0.00423
5.04,7.62380,0.00329
5.06,7.64884,-0.00189
5.08,7.66875,0.00592
5.10,7.68682,0.00318
5.12,7.70841,-0.00800
5.14,7.73251,0.00939
5.16,7.75310,0.00598
5.18,7.78255,-0.00877
5.20,7.80283,-0.00055
5.22,7.82598,0.00132
5.24,7.84597,0.00088
5.26,7.86596,-0.00078
5.28,7.88713,0.00547
5.30,7.91627,0.00200
5.32,7.92955,0.00568
5.34,7.95344,-0.00312
5.36,7.97750,0.00853
5.38,7.99791,-0.00482
5.40,8.02344,-0.00838
5.42,8.04455,-0.00242
5.44,8.06726,0.00405
5.46,8.08437,-0.00758
5.48,8.10527,0.00068
5.50,8.12655,-0.00755
5.52,8.15443,0.00335
5.54,8.17475,0.00125
5.56,8.19702,-0.00245
5.58,8.21638,-0.00905
5.60,8.23346,0.00087
5.62,8.25724,-0.00164
5.64,8.27812,-0.00128
5.66,8.29097,-0.00237
5.68,8.31524,0.00088
5.70,8.33946,0.00170
5.72,8.36159,0.00916
5.74,8.37998,-0.00374
5.76,8.39951,0.00571
5.78,8.42254,-0.00242
5.80,8.44319,0.00448
5.82,8.46624,0.00313
5.84,8.49152,-0.00267
5.86,8.50172,0.00791
5.88,8.51927,0.00119
5.90,8.54727,-0.00118
5.92,8.55930,-0.00712
5.94,8.58607,-0.00172
5.96,8.60994,0.01188
5.98,8.62066,0.00070
6.00,8.64520,0.00534
6.02,8.65856,0.00142
6.04,8.68513,0.00099
6.06,8.70076,0.00781
6.08,8.73267,0.00148
6.10,8.74515,0.00520
6.12,8.76350,0.00749
6.14,8.78093,0.00238
6.16,8.79851,0.00605
6.18,8.81526,0.00012
6.20,8.83659,-0.00185
6.22,8.85787,0.00164
6.24,8.87242,0.00214
6.26,8.90049,0.00121
6.28,8.91675,-0.00195
6.30,8.93382,-0.00304
6.32,8.95739,0.00016
6.34,8.96975,-0.00641
6.36,8.99300,0.00064
6.38,9.00983,-0.00265
6.40,9.02841,0.00266
6.42,9.04935,0.00573
6.44,9.06084,0.00764
6.46,9.08327,0.00014
6.48,9.09932,0.00272
6.50,9.11702,-0.00530
6.52,9.13793,0.00403
6.54,9.15535,0.00048
6.56,9.16942,0.00046
6.58,9.19336,-0.00158
6.60,9.20983,-0.00020
6.62,9.22950,0.00643
6.64,9.23877,-0.00056
6.66,9.26079,-0.00755
6.68,9.28426,-0.00000
6.70,9.29600,-0.00805
6.72,9.31886,-0.01175
6.74,9.32386,0.00162
6.76,9.34546,-0.00431
6.78,9.36689,0.00141
6.80,9.38241,-0.01204
6.82,9.39803,0.00322
6.84,9.41481,-0.00255
6.86,9.43541,-0.00351
6.88,9.44801,0.00088
6.90,9.46860,0.00222
6.92,9.49129,-0.00477
6.94,9.50218,-0.00265
6.96,9.52243,-0.00698
6.98,9.53606,0.00191
7.00,9.55413,-0.00472
7.02,9.56408,-0.00189
7.04,9.58325,-0.00004
7.06,9.60299,-0.00113
7.08,9.62001,0.00003
7.10,9.63724,0.00531
7.12,9.65481,-0.00191
7.14,9.67392,-0.00647
7.16,9.68452,-0.00000
7.18,9.70225,-0.01277
7.20,9.71798,0.00368
7.22,9.73404,0.00645
7.24,9.74672,0.00047
7.26,9.76031,0.00065
7.28,9.78284,-0.00239
7.30,9.79444,0.00404
7.32,9.80813,-0.00206
7.34,9.82711,-0.00153
7.36,9.84181,0.00257
7.38,9.86123,0.00376
7.40,9.87724,-0.00001
7.42,9.89453,0.01098
7.44,9.90760,-0.00153
7.46,9.91653,-0.00273
7.48,9.93812,0.00267
7.50,9.95127,0.00372
7.52,9.95779,-0.00386
7.54,9.98081,-0.00352
7.56,9.99687,-0.00523
7.58,10.00725,-0.00965
7.60,10.01753,0.00436
7.62,10.03799,-0.00412
7.64,10.05145,-0.00096
7.66,10.06118,0.00349
7.68,10.08020,-0.00514
7.70,10.09648,-0.00482
7.72,10.11567,-0.00531
7.74,10.12169,-0.00345
7.76,10.13463,-0.00126
7.78,10.15001,0.00903
7.80,10.16626,-0.00260
7.82,10.18057,-0.00442
7.84,10.19407,0.00458
7.86,10.20703,-0.00067
7.88,10.22028,0.01114
7.90,10.22949,0.00041
7.92,10.25107,-0.00878
7.94,10.26698,-0.00309
7.96,10.27031,-0.00462
7.98,10.28422,-0.00099
